Model,Best Parameters,Classification Report
DecisionTree,0.1,
DecisionTree,3.0,
DecisionTree,4.0,
DecisionTree,2.0,
DecisionTree,100.0,
DecisionTree,0.8,
DecisionTree,,"{'precision': 0.9090563165905632, 'recall': 0.9813775160892784, 'f1-score': 0.943833541844999, 'support': 7303.0}"
DecisionTree,,"{'precision': 0.615819209039548, 'recall': 0.23315508021390374, 'f1-score': 0.3382467028704422, 'support': 935.0}"
DecisionTree,,0.8964554503520272
DecisionTree,,"{'precision': 0.7624377628150556, 'recall': 0.607266298151591, 'f1-score': 0.6410401223577206, 'support': 8238.0}"
DecisionTree,,"{'precision': 0.8757743676271984, 'recall': 0.8964554503520272, 'f1-score': 0.8751003912694696, 'support': 8238.0}"
