Model,Best Parameters,Classification Report
RandomForest,True,
RandomForest,9,
RandomForest,sqrt,
RandomForest,5,
RandomForest,3,
RandomForest,150,
RandomForest,,"{'precision': 0.73224043715847, 'recall': 0.950354609929078, 'f1-score': 0.8271604938271605, 'support': 141.0}"
RandomForest,,"{'precision': 0.5882352941176471, 'recall': 0.1694915254237288, 'f1-score': 0.2631578947368421, 'support': 59.0}"
RandomForest,,0.72
RandomForest,,"{'precision': 0.6602378656380585, 'recall': 0.5599230676764034, 'f1-score': 0.5451591942820013, 'support': 200.0}"
RandomForest,,"{'precision': 0.6897589199614272, 'recall': 0.72, 'f1-score': 0.6607797270955166, 'support': 200.0}"
