Age,Credit amount,Duration,Job_1,Job_2,Job_3,Sex_male,Housing_own,Housing_rent,Saving accounts_1,Saving accounts_2,Saving accounts_3,Checking account_1,Checking account_2,Purpose_car,Purpose_domestic appliances,Purpose_education,Purpose_furniture/equipment,Purpose_radio/TV,Purpose_repairs,Purpose_vacation/others,Risk_True
2.267,-0.441,-1.0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
-0.733,1.393,2.5,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1
1.067,-0.086,-0.5,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
0.8,2.134,2.0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1.333,0.978,0.5,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
0.133,2.584,1.5,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
1.333,0.198,0.5,0,1,0,1,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0
0.133,1.776,1.5,0,0,1,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0
1.867,0.284,-0.5,1,0,0,1,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0
-0.333,1.118,1.0,0,0,1,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1
-0.533,-0.393,-0.5,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1
-0.6,0.763,2.5,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
-0.733,-0.289,-0.5,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0
1.8,-0.43,0.5,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1
-0.333,-0.352,-0.25,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
-0.067,-0.398,0.5,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1
1.333,0.04,0.5,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0
-0.533,2.207,1.0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.733,3.936,0.5,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1
-0.133,0.426,0.5,0,1,0,1,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0
1.0,-0.071,-0.75,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
